SNOMED_concept,mapped_from_concept_id,mapped_from_concept_name,mapped_from_concept_code,mapped_from_vocabulary_id,descendant_omop_concept_ids
"Dementia (52448006, OMOP concept_id: 4182210)",37402457,"Unspecified dementia, severe, with anxiety",F03.C4,ICD10CM,"[765653,43530666]"
"Dementia (52448006, OMOP concept_id: 4182210)",45566776,Alcohol dependence with alcohol-induced persisting dementia,F10.27,ICD10CM,[378726]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",45566776,Alcohol dependence with alcohol-induced persisting dementia,F10.27,ICD10CM,[378726]
"Dementia (52448006, OMOP concept_id: 4182210)",45547675,"Alcohol use, unspecified with alcohol-induced persisting dementia",F10.97,ICD10CM,[378726]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",45547675,"Alcohol use, unspecified with alcohol-induced persisting dementia",F10.97,ICD10CM,[378726]
"Dementia (52448006, OMOP concept_id: 4182210)",45552440,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia",F13.27,ICD10CM,[4245766]
"Dementia (52448006, OMOP concept_id: 4182210)",45542806,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting dementia",F13.97,ICD10CM,[4245766]
"Dementia (52448006, OMOP concept_id: 4182210)",45566812,Inhalant abuse with inhalant-induced dementia,F18.17,ICD10CM,[4139421]
"Dementia (52448006, OMOP concept_id: 4182210)",45547684,Inhalant dependence with inhalant-induced dementia,F18.27,ICD10CM,[4139421]
"Dementia (52448006, OMOP concept_id: 4182210)",45552458,"Inhalant use, unspecified with inhalant-induced persisting dementia",F18.97,ICD10CM,[4139421]
"Dementia (52448006, OMOP concept_id: 4182210)",45581438,Other psychoactive substance abuse with psychoactive substance-induced persisting dementia,F19.17,ICD10CM,[4009647]
"Dementia (52448006, OMOP concept_id: 4182210)",45571746,Other psychoactive substance dependence with psychoactive substance-induced persisting dementia,F19.27,ICD10CM,[4009647]
"Dementia (52448006, OMOP concept_id: 4182210)",45547690,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia",F19.97,ICD10CM,[4009647]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1568274,Acute necrotizing hemorrhagic encephalopathy,G04.3,ICD10CM,[4249574]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45571786,"Acute necrotizing hemorrhagic encephalopathy, unspecified",G04.30,ICD10CM,[4249574]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45562071,Postinfectious acute necrotizing hemorrhagic encephalopathy,G04.31,ICD10CM,[4249574]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45586273,Postimmunization acute necrotizing hemorrhagic encephalopathy,G04.32,ICD10CM,[4249574]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45562072,Other acute necrotizing hemorrhagic encephalopathy,G04.39,ICD10CM,[4249574]
"Dementia (52448006, OMOP concept_id: 4182210)",35207314,Huntington's disease,G10,ICD10CM,[374341]
"Dementia (52448006, OMOP concept_id: 4182210)",1568293,Alzheimer's disease,G30,ICD10CM,[378419]
"Dementia (52448006, OMOP concept_id: 4182210)",35207356,Alzheimer's disease with early onset,G30.0,ICD10CM,[4218017]
"Primary degenerative dementia of the Alzheimer type, senile onset (416975007, OMOP concept_id: 4220313)",35207357,Alzheimer's disease with late onset,G30.1,ICD10CM,[4220313]
"Dementia (52448006, OMOP concept_id: 4182210)",35207357,Alzheimer's disease with late onset,G30.1,ICD10CM,[4220313]
"Dementia (52448006, OMOP concept_id: 4182210)",35207358,Other Alzheimer's disease,G30.8,ICD10CM,[378419]
"Dementia (52448006, OMOP concept_id: 4182210)",35207359,"Alzheimer's disease, unspecified",G30.9,ICD10CM,[378419]
"Dementia (52448006, OMOP concept_id: 4182210)",1568295,Frontotemporal dementia,G31.0,ICD10CM,[4043378]
"Dementia (52448006, OMOP concept_id: 4182210)",45538103,Pick's disease,G31.01,ICD10CM,[4043378]
"Dementia (52448006, OMOP concept_id: 4182210)",45605533,Other frontotemporal neurocognitive disorder,G31.09,ICD10CM,[4043378]
"Dementia (52448006, OMOP concept_id: 4182210)",45547730,Neurocognitive disorder with Lewy bodies,G31.83,ICD10CM,[4196433]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207367,Acute and subacute hemorrhagic leukoencephalitis [Hurst],G36.1,ICD10CM,[4249574]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1568334,Persistent migraine aura with cerebral infarction,G43.6,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1568335,"Persistent migraine aura with cerebral infarction, not intractable",G43.60,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45547733,"Persistent migraine aura with cerebral infarction, not intractable, with status migrainosus",G43.601,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45605545,"Persistent migraine aura with cerebral infarction, not intractable, without status migrainosus",G43.609,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1568336,"Persistent migraine aura with cerebral infarction, intractable",G43.61,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45605546,"Persistent migraine aura with cerebral infarction, intractable, with status migrainosus",G43.611,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45547734,"Persistent migraine aura with cerebral infarction, intractable, without status migrainosus",G43.619,ICD10CM,[443454]
"Transient cerebral ischemia (266257000, OMOP concept_id: 373503)",1568360,Transient cerebral ischemic attacks and related syndromes,G45,ICD10CM,[373503]
"Transient cerebral ischemia (266257000, OMOP concept_id: 373503)",35207393,Vertebro-basilar artery syndrome,G45.0,ICD10CM,[374055]
"Transient cerebral ischemia (266257000, OMOP concept_id: 373503)",35207394,Carotid artery syndrome (hemispheric),G45.1,ICD10CM,[4112020]
"Transient cerebral ischemia (266257000, OMOP concept_id: 373503)",35207396,Amaurosis fugax,G45.3,ICD10CM,[4338523]
"Transient cerebral ischemia (266257000, OMOP concept_id: 373503)",35207398,Other transient cerebral ischemic attacks and related syndromes,G45.8,ICD10CM,[373503]
"Transient cerebral ischemia (266257000, OMOP concept_id: 373503)",35207399,"Transient cerebral ischemic attack, unspecified",G45.9,ICD10CM,[373503]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",35207405,Pure motor lacunar syndrome,G46.5,ICD10CM,[4045737]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",35207406,Pure sensory lacunar syndrome,G46.6,ICD10CM,[4045738]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",35207407,Other lacunar syndromes,G46.7,ICD10CM,[4046360]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",1569184,Nontraumatic subarachnoid hemorrhage,I60,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1569184,Nontraumatic subarachnoid hemorrhage,I60,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1569185,Nontraumatic subarachnoid hemorrhage from carotid siphon and bifurcation,I60.0,ICD10CM,[4108952]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45605800,Nontraumatic subarachnoid hemorrhage from unspecified carotid siphon and bifurcation,I60.00,ICD10CM,[4108952]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45533459,Nontraumatic subarachnoid hemorrhage from right carotid siphon and bifurcation,I60.01,ICD10CM,[4108952]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45605801,Nontraumatic subarachnoid hemorrhage from left carotid siphon and bifurcation,I60.02,ICD10CM,[4108952]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",1569186,Nontraumatic subarachnoid hemorrhage from middle cerebral artery,I60.1,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1569186,Nontraumatic subarachnoid hemorrhage from middle cerebral artery,I60.1,ICD10CM,[4148906]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",45538388,Nontraumatic subarachnoid hemorrhage from unspecified middle cerebral artery,I60.10,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45538388,Nontraumatic subarachnoid hemorrhage from unspecified middle cerebral artery,I60.10,ICD10CM,[4148906]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",45552799,Nontraumatic subarachnoid hemorrhage from right middle cerebral artery,I60.11,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45552799,Nontraumatic subarachnoid hemorrhage from right middle cerebral artery,I60.11,ICD10CM,[4148906]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",45533460,Nontraumatic subarachnoid hemorrhage from left middle cerebral artery,I60.12,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45533460,Nontraumatic subarachnoid hemorrhage from left middle cerebral artery,I60.12,ICD10CM,[4148906]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",1569187,Nontraumatic subarachnoid hemorrhage from anterior communicating artery,I60.2,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1569187,Nontraumatic subarachnoid hemorrhage from anterior communicating artery,I60.2,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45591471,Nontraumatic subarachnoid hemorrhage from unspecified anterior communicating artery,I60.20,ICD10CM,[432923]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45562357,Nontraumatic subarachnoid hemorrhage from right anterior communicating artery,I60.21,ICD10CM,[432923]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45605802,Nontraumatic subarachnoid hemorrhage from left anterior communicating artery,I60.22,ICD10CM,[432923]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",1569188,Nontraumatic subarachnoid hemorrhage from posterior communicating artery,I60.3,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1569188,Nontraumatic subarachnoid hemorrhage from posterior communicating artery,I60.3,ICD10CM,[4148906]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",45538389,Nontraumatic subarachnoid hemorrhage from unspecified posterior communicating artery,I60.30,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45538389,Nontraumatic subarachnoid hemorrhage from unspecified posterior communicating artery,I60.30,ICD10CM,[4148906]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",45538390,Nontraumatic subarachnoid hemorrhage from right posterior communicating artery,I60.31,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45538390,Nontraumatic subarachnoid hemorrhage from right posterior communicating artery,I60.31,ICD10CM,[4148906]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",45562359,Nontraumatic subarachnoid hemorrhage from left posterior communicating artery,I60.32,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45562359,Nontraumatic subarachnoid hemorrhage from left posterior communicating artery,I60.32,ICD10CM,[4148906]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207803,Nontraumatic subarachnoid hemorrhage from basilar artery,I60.4,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207803,Nontraumatic subarachnoid hemorrhage from basilar artery,I60.4,ICD10CM,[4148906]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",1569189,Nontraumatic subarachnoid hemorrhage from vertebral artery,I60.5,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1569189,Nontraumatic subarachnoid hemorrhage from vertebral artery,I60.5,ICD10CM,"[4148906,4111708]"
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",45586591,Nontraumatic subarachnoid hemorrhage from unspecified vertebral artery,I60.50,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45586591,Nontraumatic subarachnoid hemorrhage from unspecified vertebral artery,I60.50,ICD10CM,"[4148906,4111708]"
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",45567185,Nontraumatic subarachnoid hemorrhage from right vertebral artery,I60.51,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45567185,Nontraumatic subarachnoid hemorrhage from right vertebral artery,I60.51,ICD10CM,"[4148906,4111708]"
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",45543185,Nontraumatic subarachnoid hemorrhage from left vertebral artery,I60.52,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45543185,Nontraumatic subarachnoid hemorrhage from left vertebral artery,I60.52,ICD10CM,"[4148906,4111708]"
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207804,Nontraumatic subarachnoid hemorrhage from other intracranial arteries,I60.6,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207804,Nontraumatic subarachnoid hemorrhage from other intracranial arteries,I60.6,ICD10CM,[4148906]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207805,Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery,I60.7,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207805,Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery,I60.7,ICD10CM,[4148906]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207806,Other nontraumatic subarachnoid hemorrhage,I60.8,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207806,Other nontraumatic subarachnoid hemorrhage,I60.8,ICD10CM,[4148906]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207807,"Nontraumatic subarachnoid hemorrhage, unspecified",I60.9,ICD10CM,[4148906]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207807,"Nontraumatic subarachnoid hemorrhage, unspecified",I60.9,ICD10CM,[4148906]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",1569190,Nontraumatic intracerebral hemorrhage,I61,ICD10CM,[43530727]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1569190,Nontraumatic intracerebral hemorrhage,I61,ICD10CM,[43530727]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207808,"Nontraumatic intracerebral hemorrhage in hemisphere, subcortical",I61.0,ICD10CM,[43530727]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207808,"Nontraumatic intracerebral hemorrhage in hemisphere, subcortical",I61.0,ICD10CM,"[43530727,4049659]"
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207809,"Nontraumatic intracerebral hemorrhage in hemisphere, cortical",I61.1,ICD10CM,"[4176892,43530727]"
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207809,"Nontraumatic intracerebral hemorrhage in hemisphere, cortical",I61.1,ICD10CM,[43530727]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207810,"Nontraumatic intracerebral hemorrhage in hemisphere, unspecified",I61.2,ICD10CM,[42535425]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207810,"Nontraumatic intracerebral hemorrhage in hemisphere, unspecified",I61.2,ICD10CM,[42535425]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207811,Nontraumatic intracerebral hemorrhage in brain stem,I61.3,ICD10CM,[43530727]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207811,Nontraumatic intracerebral hemorrhage in brain stem,I61.3,ICD10CM,"[43530727,4319328]"
"Spontaneous cerebellar hemorrhage (142851000119103, OMOP concept_id: 43530674)",35207812,Nontraumatic intracerebral hemorrhage in cerebellum,I61.4,ICD10CM,[43530674]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207812,Nontraumatic intracerebral hemorrhage in cerebellum,I61.4,ICD10CM,[43530674]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207812,Nontraumatic intracerebral hemorrhage in cerebellum,I61.4,ICD10CM,[43530674]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207813,"Nontraumatic intracerebral hemorrhage, intraventricular",I61.5,ICD10CM,[4144154]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207814,"Nontraumatic intracerebral hemorrhage, multiple localized",I61.6,ICD10CM,[43530727]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207814,"Nontraumatic intracerebral hemorrhage, multiple localized",I61.6,ICD10CM,"[43530727,4110186]"
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207815,Other nontraumatic intracerebral hemorrhage,I61.8,ICD10CM,[43530727]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207815,Other nontraumatic intracerebral hemorrhage,I61.8,ICD10CM,[43530727]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207816,"Nontraumatic intracerebral hemorrhage, unspecified",I61.9,ICD10CM,[43530727]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207816,"Nontraumatic intracerebral hemorrhage, unspecified",I61.9,ICD10CM,[43530727]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",1569191,Other and unspecified nontraumatic intracranial hemorrhage,I62,ICD10CM,[43530727]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1569191,Other and unspecified nontraumatic intracranial hemorrhage,I62,ICD10CM,[43530727]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",1569192,Nontraumatic subdural hemorrhage,I62.0,ICD10CM,[4111709]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45538392,"Nontraumatic subdural hemorrhage, unspecified",I62.00,ICD10CM,[4111709]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45557548,Nontraumatic acute subdural hemorrhage,I62.01,ICD10CM,[4111709]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45605805,Nontraumatic subacute subdural hemorrhage,I62.02,ICD10CM,[4111709]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",45557549,Nontraumatic chronic subdural hemorrhage,I62.03,ICD10CM,[43530851]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207817,Nontraumatic extradural hemorrhage,I62.1,ICD10CM,[436430]
"Spontaneous cerebral hemorrhage (291571000119106, OMOP concept_id: 43530727)",35207818,"Nontraumatic intracranial hemorrhage, unspecified",I62.9,ICD10CM,[43530727]
"Intracranial hemorrhage (1386000, OMOP concept_id: 439847)",35207818,"Nontraumatic intracranial hemorrhage, unspecified",I62.9,ICD10CM,[43530727]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569193,Cerebral infarction,I63,ICD10CM,[443454]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569194,Cerebral infarction due to thrombosis of precerebral arteries,I63.0,ICD10CM,[4110189]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45601041,Cerebral infarction due to thrombosis of unspecified precerebral artery,I63.00,ICD10CM,[4110189]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569195,Cerebral infarction due to thrombosis of vertebral artery,I63.01,ICD10CM,[4110189]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45601042,Cerebral infarction due to thrombosis of right vertebral artery,I63.011,ICD10CM,[4110189]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45533462,Cerebral infarction due to thrombosis of left vertebral artery,I63.012,ICD10CM,[4110189]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200496,Cerebral infarction due to thrombosis of bilateral vertebral arteries,I63.013,ICD10CM,[4110189]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45562362,Cerebral infarction due to thrombosis of unspecified vertebral artery,I63.019,ICD10CM,[4110189]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45552801,Cerebral infarction due to thrombosis of basilar artery,I63.02,ICD10CM,[4110189]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",1569196,Cerebral infarction due to thrombosis of carotid artery,I63.03,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569196,Cerebral infarction due to thrombosis of carotid artery,I63.03,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45581781,Cerebral infarction due to thrombosis of right carotid artery,I63.031,ICD10CM,[4110189]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45562363,Cerebral infarction due to thrombosis of left carotid artery,I63.032,ICD10CM,[4110189]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200497,Cerebral infarction due to thrombosis of bilateral carotid arteries,I63.033,ICD10CM,[4110189]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45538394,Cerebral infarction due to thrombosis of unspecified carotid artery,I63.039,ICD10CM,[4110189]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45533463,Cerebral infarction due to thrombosis of other precerebral artery,I63.09,ICD10CM,[4110189]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569197,Cerebral infarction due to embolism of precerebral arteries,I63.1,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45567187,Cerebral infarction due to embolism of unspecified precerebral artery,I63.10,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569198,Cerebral infarction due to embolism of vertebral artery,I63.11,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45538395,Cerebral infarction due to embolism of right vertebral artery,I63.111,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45557551,Cerebral infarction due to embolism of left vertebral artery,I63.112,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200498,Cerebral infarction due to embolism of bilateral vertebral arteries,I63.113,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45562364,Cerebral infarction due to embolism of unspecified vertebral artery,I63.119,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45581782,Cerebral infarction due to embolism of basilar artery,I63.12,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569199,Cerebral infarction due to embolism of carotid artery,I63.13,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45596212,Cerebral infarction due to embolism of right carotid artery,I63.131,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45572097,Cerebral infarction due to embolism of left carotid artery,I63.132,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200499,Cerebral infarction due to embolism of bilateral carotid arteries,I63.133,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45576884,Cerebral infarction due to embolism of unspecified carotid artery,I63.139,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45605806,Cerebral infarction due to embolism of other precerebral artery,I63.19,ICD10CM,[4110190]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569200,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,ICD10CM,[4043731]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45552802,Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries,I63.20,ICD10CM,[4043731]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569201,Cerebral infarction due to unspecified occlusion or stenosis of vertebral arteries,I63.21,ICD10CM,[46270031]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45572098,Cerebral infarction due to unspecified occlusion or stenosis of right vertebral artery,I63.211,ICD10CM,[46270031]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45576885,Cerebral infarction due to unspecified occlusion or stenosis of left vertebral artery,I63.212,ICD10CM,[46270031]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200500,Cerebral infarction due to unspecified occlusion or stenosis of bilateral vertebral arteries,I63.213,ICD10CM,[46270031]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45548026,Cerebral infarction due to unspecified occlusion or stenosis of unspecified vertebral artery,I63.219,ICD10CM,[46270031]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45538396,Cerebral infarction due to unspecified occlusion or stenosis of basilar artery,I63.22,ICD10CM,[46273649]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569202,Cerebral infarction due to unspecified occlusion or stenosis of carotid arteries,I63.23,ICD10CM,[4043731]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45601043,Cerebral infarction due to unspecified occlusion or stenosis of right carotid arteries,I63.231,ICD10CM,[4043731]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45562365,Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries,I63.232,ICD10CM,[4043731]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",37200501,Cerebral infarction due to unspecified occlusion or stenosis of bilateral carotid arteries,I63.233,ICD10CM,[4043731]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45543187,Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid artery,I63.239,ICD10CM,[4043731]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45548027,Cerebral infarction due to unspecified occlusion or stenosis of other precerebral arteries,I63.29,ICD10CM,[4043731]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",1569203,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569203,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45591474,Cerebral infarction due to thrombosis of unspecified cerebral artery,I63.30,ICD10CM,[4110192]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45591474,Cerebral infarction due to thrombosis of unspecified cerebral artery,I63.30,ICD10CM,[4110192]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",1569204,Cerebral infarction due to thrombosis of middle cerebral artery,I63.31,ICD10CM,[45767658]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",1569204,Cerebral infarction due to thrombosis of middle cerebral artery,I63.31,ICD10CM,[45767658]
"Cerebral infarction due to thrombosis of middle cerebral artery (705130002, OMOP concept_id: 45767658)",1569204,Cerebral infarction due to thrombosis of middle cerebral artery,I63.31,ICD10CM,[45767658]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45557552,Cerebral infarction due to thrombosis of right middle cerebral artery,I63.311,ICD10CM,[45767658]
"Cerebral infarction (432504007, OMOP concept_id: 443454)",45557552,Cerebral infarction due to thrombosis of right middle cerebral artery,I63.311,ICD10CM,[45767658]
"Cerebral infarction due to thrombosis of middle cerebral artery (705130002, OMOP concept_id: 45767658)",45557552,Cerebral infarction due to thrombosis of right middle cerebral artery,I63.311,ICD10CM,[45767658]
"Cerebral infarction due to thrombosis of cerebral arteries (195189003, OMOP concept_id: 4110192)",45567188,Cerebral infarction due to thrombosis of left middle cerebral artery,I63.312,ICD10CM,[45767658]
